COMP_TYPE,COMP_LOC,YEAR,RACE_DATE,RACE_TEMP,RACE_HUMID,M_W,EVENT,STAGE,RACE_NB,ATHLETE_NAME,ATHLETE_COUNTRY,ATHLETE_AGE,100M,200M,300M,400M,500M,600M,700M,800M,900M,1000M,1100M,1200M,1300M,1400M,1500M,1600M,1700M,1800M,1900M,2000M,2100M,2200M,2300M,2400M,2500M,2600M,2700M,2800M,2900M,3000M,3100M,3200M,3300M,3400M,3500M,3600M,3700M,3800M,3900M,4000M,4100M,4200M,4300M,4400M,4500M,4600M,4700M,4800M,4900M,5000M
outdoor,Budapest (HUN),2023,27 August 2023,31,44,men,5000-metres,final,1.0,Luis GRIJALVA,GUA,24.0,17.21,33.65,50.53,1:06.82,1:24.38,1:42.49,2:01.31,2:18.25,2:35.28,2:52.73,3:08.89,3:24.96,3:41.51,3:57.55,4:13.87,4:29.90,4:46.09,5:01.93,5:19.77,5:35.74,5:51.89,6:07.94,6:24.13,6:39.70,6:55.45,7:11.32,7:27.67,7:43.17,7:58.44,8:13.71,8:29.36,8:44.87,9:00.75,9:16.28,9:32.30,9:47.85,10:03.10,10:18.69,10:34.23,10:49.79,11:05.17,11:20.41,11:35.65,11:51.08,12:05.23,12:18.87,12:32.46,12:45.47,12:59.20,13:12.50
outdoor,Budapest (HUN),2023,27 August 2023,31,44,men,5000-metres,final,1.0,Yomif KEJELCHA,ETH,26.0,17.69,34.56,51.36,1:07.60,1:25.35,1:43.42,2:02.58,2:19.28,2:36.41,2:53.63,3:10.34,3:25.78,3:42.36,3:58.50,4:14.70,4:30.36,4:46.54,5:02.46,5:19.89,5:36.00,5:52.09,6:08.29,6:24.38,6:40.22,6:55.89,7:11.60,7:28.11,7:43.90,7:59.48,8:14.41,8:30.22,8:45.52,9:01.28,9:16.89,9:32.87,9:48.39,10:03.89,10:19.19,10:34.65,10:50.32,11:05.79,11:20.68,11:36.10,11:51.22,12:05.47,12:18.85,12:32.15,12:45.36,12:58.92,13:12.51
outdoor,Budapest (HUN),2023,27 August 2023,31,44,men,5000-metres,final,1.0,Mohammed AHMED,CAN,33.0,16.72,33.08,49.76,1:06.22,1:24.07,1:42.12,2:00.83,2:17.96,2:35.11,2:52.48,3:08.60,3:24.74,3:41.21,3:57.32,4:13.61,4:29.77,4:45.82,5:01.72,5:19.46,5:36.34,5:52.34,6:08.52,6:24.86,6:40.70,6:56.32,7:11.64,7:27.98,7:43.79,7:59.40,8:14.45,8:30.15,8:45.64,9:01.59,9:17.07,9:33.21,9:48.44,10:04.12,10:19.15,10:34.94,10:50.58,11:06.03,11:21.07,11:36.55,11:51.65,12:05.71,12:19.09,12:32.63,12:45.70,12:59.02,13:12.92
outdoor,Budapest (HUN),2023,27 August 2023,31,44,men,5000-metres,final,1.0,Berihu AREGAWI,ETH,22.0,17.44,34.17,50.96,1:07.40,1:25.17,1:43.27,2:02.11,2:18.66,2:35.89,2:53.08,3:09.19,3:25.22,3:41.87,3:58.00,4:14.36,4:30.64,4:46.89,5:02.41,5:19.53,5:35.44,5:51.33,6:07.50,6:23.47,6:39.11,6:54.85,7:10.87,7:26.95,7:42.98,7:58.20,8:13.52,8:29.14,8:44.84,9:00.54,9:16.30,9:32.11,9:47.61,10:02.70,10:18.27,10:33.95,10:49.71,11:05.07,11:20.30,11:35.66,11:50.94,12:05.15,12:18.66,12:32.02,12:45.12,12:58.85,13:12.99
outdoor,Budapest (HUN),2023,27 August 2023,31,44,men,5000-metres,final,1.0,Jimmy GRESSIER,FRA,26.0,16.86,33.27,49.89,1:06.31,1:24.04,1:42.13,2:00.88,2:17.87,2:35.07,2:52.40,3:08.70,3:24.69,3:41.18,3:57.30,4:13.50,4:29.67,4:45.77,5:01.80,5:19.31,5:35.85,5:51.86,6:08.10,6:24.28,6:40.04,6:55.55,7:11.48,7:27.89,7:43.43,7:58.56,8:13.86,8:29.38,8:45.04,9:00.86,9:16.51,9:32.32,9:48.10,10:03.31,10:18.71,10:34.33,10:49.96,11:05.21,11:20.50,11:35.87,11:51.17,12:05.30,12:19.34,12:33.19,12:47.41,13:02.01,13:17.20
outdoor,Budapest (HUN),2023,27 August 2023,31,44,men,5000-metres,final,1.0,Ishmael Rokitto KIPKURUI,KEN,19.0,17.00,33.64,50.27,1:06.73,1:24.41,1:42.44,2:01.02,2:16.51,2:31.34,2:46.56,3:02.50,3:18.87,3:35.35,3:51.30,4:07.56,4:24.05,4:40.29,4:56.29,5:12.77,5:29.34,5:46.22,6:02.98,6:20.09,6:37.79,6:55.19,7:11.14,7:27.44,7:43.48,7:58.89,8:14.07,8:29.99,8:45.71,9:01.50,9:17.19,9:33.34,9:48.93,10:04.33,10:19.61,10:35.14,10:50.88,11:06.15,11:21.41,11:36.82,11:52.32,12:06.53,12:21.34,12:36.20,12:51.19,13:06.02,13:21.20
outdoor,Budapest (HUN),2023,27 August 2023,31,44,men,5000-metres,final,1.0,Abdihamid NUR,USA,26.0,17.20,33.89,50.71,1:07.25,1:25.04,1:43.10,2:02.23,2:19.00,2:36.01,2:53.37,3:09.71,3:25.67,3:42.27,3:58.43,4:14.77,4:30.06,4:46.21,5:01.91,5:19.55,5:36.24,5:52.63,6:08.49,6:24.67,6:40.42,6:56.21,7:12.19,7:28.45,7:44.27,8:00.06,8:14.78,8:30.63,8:46.26,9:01.96,9:17.44,9:32.93,9:47.86,10:03.33,10:18.87,10:35.18,10:50.91,11:06.70,11:22.09,11:37.62,11:53.33,12:08.68,12:24.30,12:40.56,12:56.27,13:10.73,13:23.90
outdoor,Budapest (HUN),2023,27 August 2023,31,44,men,5000-metres,final,1.0,Stewart MCSWEYN,AUS,28.0,17.97,34.66,51.63,1:07.86,1:25.57,1:42.76,2:01.57,2:18.57,2:35.79,2:53.01,3:08.96,3:25.03,3:41.74,3:57.73,4:13.92,4:30.10,4:46.27,5:02.22,5:19.91,5:36.66,5:53.14,6:08.96,6:25.20,6:41.05,6:56.91,7:12.27,7:28.65,7:44.55,8:00.00,8:14.90,8:30.70,8:46.05,9:01.95,9:17.69,9:33.41,9:49.10,10:04.56,10:19.85,10:35.37,10:51.12,11:06.92,11:22.34,11:38.02,11:53.80,12:08.96,12:24.59,12:40.38,12:56.24,13:11.52,13:26.58
outdoor,Budapest (HUN),2023,27 August 2023,31,44,men,5000-metres,final,1.0,Narve Gilje NORDÅS,NOR,25.0,18.37,35.53,52.43,1:08.75,1:26.10,1:43.86,2:02.60,2:19.57,2:36.40,2:53.21,3:09.51,3:25.47,3:42.05,3:58.16,4:14.46,4:30.69,4:46.78,5:02.78,5:20.15,5:36.77,5:53.41,6:09.31,6:25.74,6:41.84,6:57.43,7:13.07,7:29.26,7:45.25,8:01.17,8:16.58,8:31.95,8:47.47,9:03.44,9:19.13,9:35.09,9:50.42,10:06.49,10:22.45,10:38.29,10:53.94,11:09.80,11:25.87,11:41.92,11:57.99,12:13.52,12:29.34,12:44.62,12:59.61,13:14.35,13:28.73
outdoor,Budapest (HUN),2023,27 August 2023,31,44,men,5000-metres,final,1.0,Paul CHELIMO,USA,33.0,18.19,35.36,52.25,1:08.40,1:25.88,1:43.81,2:03.07,2:20.25,2:36.87,2:53.77,3:10.20,3:26.11,3:42.71,3:58.93,4:15.18,4:31.20,4:47.33,5:03.30,5:20.63,5:37.10,5:53.43,6:09.25,6:25.70,6:41.62,6:57.18,7:12.88,7:29.06,7:44.70,8:00.67,8:15.93,8:31.31,8:47.06,9:02.80,9:18.42,9:34.43,9:50.39,10:06.19,10:22.22,10:38.05,10:54.15,11:10.12,11:26.43,11:42.56,11:59.08,12:14.51,12:30.48,12:45.83,13:01.54,13:15.97,13:30.88
outdoor,Budapest (HUN),2023,27 August 2023,31,44,men,5000-metres,final,1.0,Ouassim OUMAIZ,ESP,24.0,18.37,34.94,51.56,1:07.72,1:25.35,1:43.49,2:02.38,2:19.18,2:36.42,2:53.42,3:09.69,3:25.54,3:42.00,3:58.21,4:14.54,4:30.65,4:46.69,5:02.78,5:20.09,5:36.48,5:52.74,6:08.75,6:24.88,6:40.68,6:56.46,7:11.93,7:28.65,7:44.38,8:00.37,8:15.53,8:31.06,8:46.67,9:02.36,9:18.14,9:33.92,9:49.74,10:05.37,10:21.49,10:37.62,10:53.68,11:10.30,11:26.42,11:42.65,11:58.72,12:13.74,12:29.09,12:44.45,13:00.46,13:16.01,13:31.99
outdoor,Oregon (USA),2022,20 July 2022,33,35,women,5000-metres,heats,1.0,Gudaf TSEGAY,ETH,25.0,17.15,33.84,52.07,1:09.75,1:28.03,1:46.19,2:04.57,2:22.47,2:40.49,2:58.32,3:15.92,3:33.75,3:51.59,4:09.60,4:27.27,4:45.27,5:03.82,5:21.85,5:40.02,5:58.41,6:16.45,6:34.47,6:52.63,7:10.73,7:28.98,7:47.04,8:05.02,8:23.46,8:42.06,9:00.66,9:19.84,9:39.25,9:58.39,10:17.24,10:36.25,10:55.06,11:13.72,11:31.91,11:49.67,12:07.10,12:24.70,12:41.68,12:58.75,13:15.15,13:32.53,13:49.32,14:05.94,14:22.23,14:38.46,14:52.64
outdoor,Oregon (USA),2022,20 July 2022,33,35,women,5000-metres,heats,1.0,Dawit SEYAUM,ETH,26.0,19.13,36.74,54.30,1:12.09,1:30.18,1:48.34,2:06.71,2:23.54,2:41.49,2:59.65,3:17.48,3:35.20,3:53.53,4:11.69,4:29.67,4:47.70,5:06.06,5:22.70,5:40.90,5:59.22,6:17.30,6:35.27,6:53.48,7:11.60,7:29.78,7:47.88,8:05.87,8:24.19,8:42.81,9:01.35,9:20.77,9:39.82,9:58.80,10:17.51,10:36.68,10:55.64,11:14.01,11:32.02,11:49.86,12:07.69,12:25.15,12:42.34,12:59.42,13:15.47,13:32.72,13:49.73,14:06.31,14:22.50,14:38.55,14:53.06
outdoor,Oregon (USA),2022,20 July 2022,33,35,women,5000-metres,heats,1.0,Beatrice CHEBET,KEN,22.0,17.40,34.27,52.32,1:10.24,1:28.45,1:46.44,2:04.34,2:22.08,2:39.94,2:57.78,3:15.52,3:33.32,3:51.30,4:09.28,4:27.07,4:45.06,5:03.53,5:21.51,5:39.77,5:58.03,6:16.21,6:34.07,6:52.28,7:10.55,7:28.77,7:46.81,8:04.72,8:23.08,8:41.79,9:00.32,9:19.58,9:38.91,9:58.01,10:16.61,10:35.65,10:54.64,11:13.22,11:31.62,11:49.33,12:07.33,12:25.04,12:42.13,12:59.24,13:15.80,13:32.93,13:49.61,14:06.22,14:22.41,14:38.71,14:53.34
outdoor,Oregon (USA),2022,20 July 2022,33,35,women,5000-metres,heats,1.0,Margaret Chelimo KIPKEMBOI,KEN,29.0,18.06,35.30,53.31,1:11.10,1:28.95,1:46.86,2:04.85,2:22.82,2:40.66,2:58.49,3:16.22,3:33.97,3:51.78,4:09.75,4:27.55,4:45.88,5:04.13,5:21.94,5:40.27,5:58.55,6:16.68,6:34.65,6:52.93,7:11.03,7:29.19,7:47.30,8:05.18,8:23.51,8:42.24,9:00.85,9:20.08,9:39.11,9:58.25,10:16.84,10:35.86,10:54.74,11:13.44,11:31.38,11:49.21,12:07.24,12:24.89,12:41.84,12:59.11,13:15.65,13:33.05,13:49.54,14:06.09,14:22.42,14:38.67,14:53.45
outdoor,Oregon (USA),2022,20 July 2022,33,35,women,5000-metres,heats,1.0,Karissa SCHWEIZER,USA,26.0,17.53,34.61,52.61,1:10.41,1:28.70,1:46.05,2:03.90,2:21.75,2:39.56,2:57.38,3:15.10,3:32.99,3:50.93,4:08.86,4:26.73,4:44.67,5:03.10,5:21.16,5:39.38,5:57.46,6:15.83,6:33.68,6:51.89,7:10.22,7:28.34,7:46.37,8:04.31,8:22.67,8:41.34,8:59.95,9:19.28,9:38.48,9:57.59,10:16.20,10:35.21,10:54.20,11:12.78,11:31.24,11:48.90,12:06.78,12:24.22,12:41.59,12:58.68,13:15.25,13:32.62,13:49.42,14:06.00,14:22.27,14:38.58,14:53.69
outdoor,Oregon (USA),2022,20 July 2022,33,35,women,5000-metres,heats,1.0,Ririka HIRONAKA,JPN,22.0,17.06,33.90,51.86,1:09.67,1:27.88,1:45.83,2:03.73,2:21.55,2:39.35,2:57.16,3:14.96,3:32.77,3:50.73,4:08.67,4:26.49,4:44.54,5:02.96,5:20.97,5:39.21,5:57.41,6:15.59,6:33.55,6:51.65,7:09.99,7:28.13,7:46.18,8:04.16,8:22.56,8:41.14,8:59.90,9:19.12,9:38.31,9:57.46,10:16.01,10:35.06,10:54.05,11:12.67,11:31.15,11:48.99,12:06.86,12:24.50,12:42.32,13:00.01,13:17.49,13:35.48,13:53.39,14:10.76,14:28.10,14:45.15,15:02.03
outdoor,Oregon (USA),2022,20 July 2022,33,35,women,5000-metres,heats,1.0,Konstanze KLOSTERHALFEN,GER,25.0,17.48,34.49,52.48,1:10.14,1:28.33,1:46.29,2:04.13,2:21.96,2:39.82,2:57.68,3:15.39,3:33.28,3:51.17,4:09.08,4:26.93,4:44.90,5:03.38,5:21.40,5:39.65,5:57.99,6:16.09,6:33.94,6:52.19,7:10.45,7:28.65,7:46.69,8:04.60,8:22.99,8:41.67,9:00.21,9:19.44,9:38.86,9:57.88,10:16.52,10:35.51,10:54.29,11:13.09,11:31.41,11:49.56,12:07.50,12:25.55,12:43.17,13:01.03,13:20.40,13:40.11,14:00.21,14:20.14,14:40.35,14:59.22,15:17.78
outdoor,Oregon (USA),2022,20 July 2022,33,35,women,5000-metres,heats,1.0,Maureen KOSTER,NED,30.0,18.32,35.80,53.54,1:11.29,1:29.42,1:47.45,2:05.84,2:23.65,2:41.61,2:59.52,3:17.32,3:35.06,3:53.44,4:11.56,4:29.59,4:47.54,5:06.00,5:23.71,5:42.05,6:00.46,6:18.97,6:36.85,6:55.20,7:13.55,7:31.99,7:50.41,8:09.15,8:28.15,8:47.13,9:05.86,9:25.09,9:44.37,10:03.21,10:21.80,10:40.62,10:59.79,11:18.84,11:37.54,11:56.39,12:15.31,12:34.12,12:52.72,13:11.52,13:30.67,13:48.90,14:07.14,14:25.09,14:43.06,15:00.80,15:18.17
outdoor,Oregon (USA),2022,20 July 2022,33,35,women,5000-metres,heats,1.0,Rahel DANIEL,ERI,21.0,17.30,34.23,52.24,1:10.05,1:28.32,1:46.39,2:05.02,2:22.58,2:40.65,2:58.56,3:16.34,3:34.11,3:52.08,4:10.04,4:27.79,4:45.76,5:04.32,5:22.26,5:40.56,5:58.87,6:17.01,6:34.91,6:53.05,7:11.30,7:29.41,7:47.57,8:05.48,8:23.85,8:42.48,9:01.02,9:20.30,9:39.47,9:58.58,10:17.36,10:36.55,10:55.64,11:14.26,11:32.95,11:52.25,12:11.99,12:31.97,12:51.81,13:12.63,13:33.53,13:54.34,14:14.61,14:34.64,14:54.16,15:13.55,15:31.03
outdoor,Oregon (USA),2022,20 July 2022,33,35,women,5000-metres,heats,1.0,Amy-Eloise MARKOVC,GBR,27.0,17.95,34.98,53.09,1:10.80,1:29.04,1:47.18,2:05.47,2:23.06,2:41.02,2:58.86,3:16.71,3:34.44,3:52.73,4:10.77,4:28.83,4:46.84,5:05.29,5:23.49,5:41.84,6:00.32,6:18.81,6:37.27,6:55.81,7:14.61,7:33.24,7:51.98,8:11.07,8:30.31,8:49.45,9:08.81,9:28.04,9:47.50,10:06.71,10:26.11,10:45.49,11:05.08,11:24.37,11:43.69,12:03.05,12:22.42,12:41.56,13:01.10,13:20.69,13:40.59,13:59.90,14:19.15,14:38.35,14:56.77,15:14.53,15:31.62
outdoor,Oregon (USA),2022,20 July 2022,33,35,women,5000-metres,heats,1.0,Caster SEMENYA,RSA,32.0,17.57,34.62,52.50,1:10.28,1:28.56,1:46.66,2:05.06,2:23.09,2:41.09,2:58.97,3:16.90,3:34.47,3:52.82,4:10.95,4:28.90,4:46.91,5:05.36,5:24.00,5:42.75,6:01.38,6:19.85,6:38.77,6:58.42,7:17.99,7:37.72,7:57.39,8:16.74,8:36.83,8:57.13,9:16.14,9:36.17,9:56.22,10:15.75,10:35.21,10:54.93,11:14.81,11:34.43,11:53.78,12:13.29,12:33.58,12:53.48,13:12.99,13:32.92,13:52.77,14:12.35,14:31.54,14:50.71,15:09.82,15:28.44,15:46.12
outdoor,Oregon (USA),2022,20 July 2022,33,35,women,5000-metres,heats,1.0,Kaede HAGITANI,JPN,22.0,17.62,34.40,52.20,1:10.00,1:28.16,1:46.05,2:04.22,2:22.23,2:40.26,2:57.95,3:15.91,3:33.82,3:52.20,4:10.27,4:28.30,4:46.47,5:05.21,5:23.84,5:42.54,6:01.26,6:20.23,6:39.35,6:59.03,7:18.35,7:37.95,7:57.01,8:16.44,8:36.51,8:56.84,9:16.76,9:36.30,9:56.41,10:16.32,10:36.33,10:56.58,11:17.04,11:36.66,11:56.18,12:16.04,12:36.52,12:57.10,13:17.36,13:37.43,13:57.65,14:17.56,14:37.15,14:56.67,15:16.03,15:35.12,15:53.39
outdoor,Oregon (USA),2022,20 July 2022,33,35,women,5000-metres,heats,1.0,Florencia BORELLI,ARG,30.0,18.71,36.27,53.88,1:11.64,1:29.82,1:47.90,2:06.25,2:24.21,2:42.13,3:00.00,3:17.97,3:35.53,3:53.75,4:12.15,4:30.25,4:48.11,5:06.56,5:24.77,5:42.80,6:01.31,6:19.98,6:39.21,6:58.58,7:17.97,7:37.68,7:57.24,8:16.66,8:36.66,8:57.03,9:16.65,9:36.72,9:56.63,10:16.86,10:36.59,10:56.45,11:17.03,11:37.95,11:58.91,12:20.14,12:42.05,13:03.50,13:24.68,13:45.65,14:06.59,14:27.15,14:47.20,15:07.49,15:27.45,15:47.36,16:06.36
outdoor,Oregon (USA),2022,20 July 2022,33,35,women,5000-metres,heats,1.0,Edymar BREA,VEN,25.0,19.00,36.52,54.28,1:11.74,1:30.03,1:48.04,2:06.62,2:24.36,2:42.33,3:00.35,3:18.33,3:36.15,3:54.56,4:13.17,4:32.58,4:52.45,5:13.03,5:33.11,5:53.83,6:13.88,6:33.43,6:52.53,7:12.21,7:32.78,7:53.87,8:15.05,8:36.70,9:00.15,9:21.74,9:42.66,10:03.69,10:25.83,10:46.72,11:07.11,11:27.84,11:48.76,12:09.25,12:29.90,12:50.93,13:12.39,13:33.44,13:54.09,14:15.29,14:36.39,14:57.55,15:18.41,15:39.16,15:59.63,16:19.75,16:41.32
outdoor,Oregon (USA),2022,20 July 2022,33,33,women,5000-metres,heats,2.0,Letesenbet GIDEY,ETH,24.0,19.02,38.80,57.79,1:15.29,1:33.17,1:50.42,2:08.49,2:26.40,2:44.53,3:01.77,3:19.64,3:36.97,3:55.13,4:12.37,4:30.52,4:47.88,5:06.31,5:23.72,5:41.61,5:59.34,6:17.48,6:34.86,6:52.81,7:10.53,7:28.77,7:46.59,8:04.40,8:22.82,8:41.45,8:59.07,9:17.01,9:35.49,9:54.06,10:12.27,10:30.56,10:48.84,11:07.33,11:25.20,11:43.83,12:02.18,12:20.71,12:38.65,12:56.95,13:14.75,13:32.45,13:49.42,14:05.94,14:22.12,14:38.01,14:52.27
outdoor,Oregon (USA),2022,20 July 2022,33,33,women,5000-metres,heats,2.0,Caroline Chepkoech KIPKIRUI,KAZ,28.0,17.53,36.78,54.90,1:13.00,1:30.72,1:48.44,2:06.18,2:24.05,2:41.88,2:59.47,3:17.04,3:34.93,3:52.70,4:10.18,4:27.96,4:46.00,5:03.86,5:21.75,5:39.67,5:57.77,6:15.70,6:33.62,6:51.48,7:09.48,7:27.55,7:45.32,8:03.37,8:21.95,8:40.24,8:58.11,9:16.37,9:34.84,9:53.19,10:11.32,10:29.54,10:48.05,11:06.46,11:24.75,11:43.18,12:01.55,12:20.15,12:38.24,12:56.53,13:14.66,13:32.19,13:49.27,14:05.77,14:22.20,14:38.11,14:52.54
outdoor,Oregon (USA),2022,20 July 2022,33,33,women,5000-metres,heats,2.0,Sifan HASSAN,NED,30.0,19.30,38.92,58.10,1:15.70,1:33.41,1:50.58,2:08.79,2:26.63,2:44.82,3:02.14,3:20.33,3:37.58,3:55.64,4:12.46,4:30.79,4:48.23,5:06.55,5:23.97,5:41.95,5:59.93,6:18.15,6:35.45,6:53.52,7:11.28,7:29.54,7:46.94,8:04.90,8:23.17,8:41.68,8:59.42,9:17.59,9:35.89,9:54.61,10:12.57,10:30.93,10:49.13,11:07.69,11:25.90,11:44.49,12:02.78,12:21.36,12:39.22,12:57.51,13:15.39,13:32.99,13:49.75,14:06.10,14:22.51,14:38.44,14:52.89
outdoor,Oregon (USA),2022,20 July 2022,33,33,women,5000-metres,heats,2.0,Karoline Bjerkeli GRØVDAL,NOR,32.0,17.91,36.95,55.06,1:13.16,1:31.03,1:48.60,2:06.45,2:24.32,2:42.00,2:59.66,3:17.28,3:35.12,3:52.85,4:10.37,4:28.15,4:46.15,5:04.02,5:21.91,5:39.93,5:57.94,6:15.89,6:33.81,6:51.70,7:09.61,7:27.72,7:45.55,8:03.59,8:22.09,8:40.40,8:58.32,9:16.58,9:35.04,9:53.38,10:11.54,10:29.76,10:48.23,11:06.67,11:24.97,11:43.37,12:01.79,12:20.35,12:38.48,12:56.70,13:14.79,13:32.29,13:49.17,14:05.73,14:22.09,14:37.97,14:53.07
outdoor,Oregon (USA),2022,20 July 2022,33,33,women,5000-metres,heats,2.0,Elise CRANNY,USA,26.0,17.45,37.18,55.65,1:13.68,1:31.46,1:49.10,2:06.86,2:24.90,2:42.77,3:00.47,3:18.06,3:36.05,3:53.72,4:11.30,4:29.11,4:47.08,5:04.95,5:23.05,5:40.76,5:58.96,6:16.48,6:34.50,6:52.38,7:10.27,7:28.42,7:46.27,8:04.14,8:22.53,8:40.83,8:58.73,9:17.08,9:35.49,9:53.80,10:11.98,10:30.20,10:48.68,11:07.07,11:25.42,11:43.99,12:02.26,12:20.86,12:38.90,12:57.22,13:15.02,13:32.69,13:49.82,14:06.21,14:22.27,14:38.28,14:53.20
outdoor,Oregon (USA),2022,20 July 2022,33,33,women,5000-metres,heats,2.0,Gloria KITE,KEN,25.0,17.76,37.46,55.62,1:13.62,1:31.38,1:49.02,2:06.58,2:24.53,2:42.38,3:00.00,3:17.47,3:35.35,3:53.09,4:10.59,4:28.41,4:46.37,5:04.27,5:22.13,5:40.12,5:58.10,6:16.12,6:34.06,6:51.90,7:09.78,7:27.91,7:45.77,8:03.82,8:22.34,8:40.55,8:58.51,9:16.73,9:35.24,9:53.60,10:11.72,10:29.99,10:48.44,11:06.84,11:25.20,11:43.61,12:01.97,12:20.51,12:38.65,12:56.77,13:14.84,13:32.53,13:49.56,14:06.05,14:22.63,14:38.68,14:53.62
outdoor,Oregon (USA),2022,20 July 2022,33,33,women,5000-metres,heats,2.0,Eilish MCCOLGAN,GBR,32.0,17.69,36.71,54.84,1:12.83,1:30.61,1:48.26,2:06.08,2:23.99,2:41.70,2:59.33,3:16.97,3:34.86,3:52.55,4:10.05,4:27.88,4:45.84,5:03.71,5:21.59,5:39.59,5:57.67,6:15.58,6:33.46,6:51.39,7:09.39,7:27.37,7:45.22,8:03.28,8:21.80,8:40.08,8:58.00,9:16.25,9:34.81,9:53.03,10:11.21,10:29.48,10:47.92,11:06.35,11:24.63,11:43.08,12:01.49,12:20.01,12:38.14,12:56.44,13:14.72,13:32.67,13:50.19,14:07.11,14:24.00,14:40.64,14:56.47
outdoor,Oregon (USA),2022,20 July 2022,33,33,women,5000-metres,heats,2.0,Jessica JUDD,GBR,28.0,17.56,37.26,55.92,1:13.82,1:31.61,1:49.31,2:07.13,2:25.16,2:43.03,3:00.73,3:18.42,3:36.24,3:54.00,4:11.49,4:29.28,4:47.43,5:05.26,5:23.24,5:41.08,5:59.24,6:17.00,6:34.97,6:52.89,7:10.69,7:28.88,7:46.77,8:04.66,8:22.78,8:41.13,8:59.00,9:17.28,9:35.64,9:54.30,10:12.40,10:30.70,10:48.85,11:07.38,11:25.63,11:44.20,12:02.48,12:21.04,12:38.93,12:57.07,13:14.65,13:32.21,13:49.10,14:05.72,14:22.71,14:40.11,14:57.64
outdoor,Oregon (USA),2022,20 July 2022,33,33,women,5000-metres,heats,2.0,Nozomi TANAKA,JPN,23.0,17.71,37.33,55.58,1:13.14,1:30.92,1:48.39,2:06.36,2:24.30,2:42.25,2:59.92,3:17.66,3:35.62,3:53.34,4:10.83,4:28.67,4:46.58,5:04.54,5:22.47,5:40.39,5:58.41,6:16.36,6:34.31,6:52.18,7:10.10,7:28.27,7:46.00,8:04.06,8:22.65,8:40.97,8:58.91,9:17.18,9:35.62,9:54.22,10:11.97,10:30.39,10:48.69,11:07.24,11:25.36,11:44.10,12:02.44,12:20.92,12:38.82,12:57.03,13:15.23,13:33.34,13:50.49,14:07.64,14:24.69,14:42.49,15:00.21
outdoor,Oregon (USA),2022,20 July 2022,33,33,women,5000-metres,heats,2.0,Alina REH,GER,25.0,18.53,37.80,56.47,1:14.48,1:32.24,1:49.65,2:07.80,2:25.74,2:43.65,3:01.32,3:19.11,3:36.84,3:54.87,4:12.57,4:31.21,4:49.17,5:07.09,5:24.76,5:43.18,6:00.92,6:18.51,6:36.38,6:54.85,7:13.11,7:31.31,7:49.32,8:07.81,8:26.35,8:44.85,9:03.33,9:21.79,9:40.74,9:59.44,10:17.97,10:36.91,10:56.09,11:15.03,11:33.80,11:52.77,12:11.71,12:30.73,12:49.30,13:08.18,13:26.95,13:45.20,14:03.42,14:21.31,14:39.59,14:56.60,15:13.92
outdoor,Oregon (USA),2022,20 July 2022,33,33,women,5000-metres,heats,2.0,Laura GALVÁN,MEX,31.0,18.06,37.26,55.81,1:13.82,1:31.67,1:49.23,2:07.05,2:25.11,2:42.96,3:00.69,3:18.25,3:36.37,3:54.11,4:11.24,4:29.05,4:47.29,5:05.15,5:23.14,5:41.01,5:59.12,6:17.16,6:35.13,6:53.32,7:10.86,7:29.32,7:47.40,8:05.32,8:23.18,8:42.23,9:00.19,9:18.35,9:37.20,9:56.09,10:15.11,10:34.64,10:54.49,11:13.76,11:33.32,11:52.89,12:12.30,12:31.15,12:50.23,13:09.41,13:28.43,13:46.92,14:05.48,14:23.28,14:41.49,14:58.47,15:15.92
outdoor,Oregon (USA),2022,20 July 2022,33,33,women,5000-metres,heats,2.0,Mariana MACHADO,POR,22.0,18.33,38.07,56.88,1:14.61,1:32.41,1:49.89,2:07.91,2:25.79,2:43.78,3:01.36,3:19.53,3:37.20,3:55.24,4:12.92,4:31.40,4:49.20,5:07.35,5:25.40,5:43.25,6:01.45,6:19.87,6:37.99,6:57.03,7:15.84,7:34.94,7:53.75,8:12.90,8:31.77,8:50.69,9:09.46,9:28.01,9:46.97,10:06.10,10:24.82,10:43.91,11:03.02,11:22.11,11:40.78,11:59.61,12:18.53,12:37.39,12:55.84,13:14.57,13:33.28,13:51.62,14:09.15,14:26.56,14:43.69,15:00.90,15:18.09
outdoor,Oregon (USA),2022,20 July 2022,33,33,women,5000-metres,heats,2.0,Esther CHEBET,UGA,25.0,17.49,36.96,55.36,1:13.41,1:31.24,1:48.85,2:06.67,2:24.61,2:42.58,3:00.18,3:17.85,3:35.77,3:53.48,4:11.09,4:28.95,4:46.86,5:04.75,5:22.81,5:40.66,5:58.87,6:16.96,6:34.79,6:53.33,7:11.37,7:30.00,7:48.07,8:07.02,8:25.86,8:44.84,9:03.52,9:22.31,9:41.08,10:00.08,10:19.06,10:38.57,10:58.13,11:17.85,11:37.13,11:56.92,12:16.76,12:36.85,12:56.34,13:15.82,13:35.22,13:54.56,14:13.67,14:32.10,14:50.31,15:08.71,15:26.40
