COMP_TYPE,COMP_LOC,YEAR,RACE_DATE,RACE_TEMP,RACE_HUMID,M_W,EVENT,STAGE,RACE_NB,ATHLETE_NAME,ATHLETE_COUNTRY,ATHLETE_AGE,100M,200M,300M,400M,500M,600M,700M,800M,900M,1000M,1100M,1200M,1300M,1400M,1500M,1600M,1700M,1800M,1900M,2000M,2100M,2200M,2300M,2400M,2500M,2600M,2700M,2800M,2900M,3000M,3100M,3200M,3300M,3400M,3500M,3600M,3700M,3800M,3900M,4000M,4100M,4200M,4300M,4400M,4500M,4600M,4700M,4800M,4900M,5000M
outdoor,,2025,18 September 2025,26,75,women,5000-metres,heats,2.0,Gudaf TSEGAY,ETH,29.0,19.10,37.27,55.87,1:13.43,1:31.70,1:50.15,2:08.27,2:25.71,2:43.96,3:02.37,3:20.42,3:38.82,3:56.74,4:14.87,4:32.58,4:50.58,5:08.55,5:26.46,5:44.71,6:02.89,6:21.22,6:39.52,6:57.92,7:16.63,7:34.97,7:53.50,8:11.97,8:30.50,8:48.93,9:06.17,9:24.53,9:42.98,10:01.99,10:20.88,10:39.31,10:57.94,11:16.55,11:35.18,11:53.53,12:10.01,12:27.78,12:45.83,13:03.85,13:21.33,13:38.27,13:54.66,14:11.06,14:26.60,14:41.83,14:56.46
outdoor,,2025,18 September 2025,26,75,women,5000-metres,heats,2.0,Faith KIPYEGON,KEN,32.0,19.16,37.41,55.98,1:13.66,1:31.82,1:50.10,2:07.94,2:25.36,2:43.25,3:01.41,3:19.30,3:37.36,3:55.26,4:13.40,4:30.94,4:48.83,5:06.96,5:25.22,5:43.11,6:01.50,6:19.82,6:38.26,6:56.63,7:15.16,7:33.64,7:52.27,8:10.72,8:29.26,8:47.51,9:05.85,9:23.98,9:42.57,10:01.45,10:20.40,10:38.71,10:57.36,11:16.15,11:34.75,11:52.74,12:09.81,12:27.46,12:45.66,13:03.47,13:21.13,13:37.99,13:54.61,14:10.99,14:26.59,14:41.73,14:56.71
outdoor,,2025,18 September 2025,26,75,women,5000-metres,heats,2.0,Rose DAVIES,AUS,26.0,17.64,36.02,54.05,1:12.32,1:30.66,1:48.68,2:06.61,2:24.40,2:42.61,3:00.72,3:18.63,3:36.58,3:54.54,4:12.52,4:30.24,4:48.10,5:06.18,5:24.38,5:42.37,6:00.68,6:19.03,6:37.49,6:55.90,7:14.35,7:32.93,7:51.47,8:09.94,8:28.48,8:46.89,9:05.39,9:23.75,9:42.38,10:01.10,10:20.18,10:38.45,10:57.11,11:15.83,11:34.74,11:53.03,12:10.18,12:27.87,12:45.98,13:03.97,13:21.53,13:38.39,13:55.02,14:11.27,14:26.67,14:42.05,14:56.83
outdoor,,2025,18 September 2025,26,75,women,5000-metres,heats,2.0,Marta GARCÍA,ESP,28.0,18.01,36.49,55.03,1:12.39,1:30.39,1:48.46,2:06.31,2:24.15,2:42.35,3:00.23,3:17.94,3:35.83,3:53.75,4:11.81,4:29.46,4:47.38,5:05.41,5:23.61,5:41.66,5:59.92,6:18.26,6:36.77,6:55.17,7:13.63,7:32.19,7:51.00,8:09.47,8:28.08,8:46.51,9:05.03,9:23.33,9:42.09,10:00.84,10:19.83,10:38.04,10:56.74,11:15.55,11:34.51,11:52.77,12:09.97,12:27.71,12:45.88,13:03.70,13:21.33,13:38.17,13:54.82,14:11.24,14:26.80,14:42.00,14:56.96
outdoor,,2025,18 September 2025,26,75,women,5000-metres,heats,2.0,Medina EISA,ETH,21.0,18.79,36.80,55.38,1:12.79,1:31.24,1:49.50,2:08.16,2:25.97,2:44.09,3:01.69,3:19.68,3:37.83,3:55.79,4:13.76,4:31.43,4:49.22,5:07.35,5:25.61,5:43.54,6:01.96,6:20.25,6:38.66,6:57.04,7:15.64,7:34.08,7:52.67,8:11.24,8:29.74,8:47.99,9:06.20,9:24.29,9:42.82,10:01.65,10:20.61,10:38.99,10:57.57,11:16.43,11:35.01,11:53.11,12:10.19,12:27.95,12:45.97,13:03.99,13:21.24,13:38.11,13:55.05,14:11.59,14:27.04,14:42.52,14:57.03
outdoor,,2025,18 September 2025,26,75,women,5000-metres,heats,2.0,Josette ANDREWS,USA,30.0,17.97,36.34,54.80,1:12.78,1:31.12,1:49.54,2:08.40,2:25.76,2:43.71,3:01.75,3:19.88,3:37.99,3:56.05,4:14.06,4:31.20,4:49.46,5:07.65,5:25.69,5:43.82,6:02.20,6:20.48,6:38.94,6:57.30,7:15.81,7:34.26,7:52.83,8:11.26,8:29.73,8:48.12,9:06.32,9:24.72,9:42.87,10:01.80,10:20.75,10:39.10,10:57.66,11:16.47,11:34.97,11:53.25,12:10.32,12:28.28,12:46.20,13:04.14,13:21.45,13:38.44,13:54.76,14:11.32,14:26.84,14:42.30,14:57.59
outdoor,,2025,18 September 2025,26,75,women,5000-metres,heats,2.0,Linden HALL,AUS,34.0,17.78,35.65,53.78,1:11.83,1:30.23,1:48.85,2:06.83,2:24.61,2:42.71,3:00.54,3:18.44,3:36.34,3:54.32,4:12.26,4:30.00,4:47.85,5:05.95,5:24.09,5:42.13,6:00.45,6:18.83,6:37.24,6:55.65,7:14.11,7:32.63,7:51.15,8:09.70,8:28.23,8:46.70,9:05.17,9:23.55,9:42.20,10:01.04,10:19.95,10:38.27,10:56.85,11:15.61,11:34.58,11:53.23,12:10.34,12:28.60,12:46.38,13:04.38,13:21.71,13:38.58,13:54.90,14:11.13,14:27.05,14:42.64,14:57.80
outdoor,,2025,18 September 2025,26,75,women,5000-metres,heats,2.0,Agnes Jebet NGETICH,KEN,25.0,18.82,36.68,55.13,1:12.60,1:31.05,1:49.30,2:07.86,2:25.54,2:43.37,3:01.48,3:19.53,3:37.56,3:55.50,4:13.54,4:31.18,4:48.97,5:07.16,5:25.39,5:43.33,6:01.67,6:20.05,6:38.44,6:56.80,7:15.37,7:33.82,7:52.49,8:10.97,8:29.46,8:47.77,9:05.93,9:24.03,9:42.39,10:01.27,10:20.31,10:38.53,10:57.17,11:16.00,11:34.54,11:52.84,12:09.93,12:27.56,12:45.71,13:03.66,13:21.21,13:38.14,13:54.78,14:11.35,14:26.83,14:42.30,14:57.90
outdoor,,2025,18 September 2025,26,75,women,5000-metres,heats,2.0,Samiyah HASSAN NOUR,DJI,26.0,17.10,35.81,54.06,1:12.08,1:30.70,1:49.14,2:07.57,2:25.75,2:43.76,3:01.86,3:19.85,3:37.83,3:55.79,4:13.88,4:31.45,4:49.23,5:07.49,5:25.66,5:43.61,6:02.01,6:20.29,6:38.75,6:57.12,7:15.64,7:34.12,7:52.63,8:11.07,8:29.55,8:47.85,9:06.05,9:24.27,9:42.63,10:01.46,10:20.51,10:38.78,10:57.41,11:16.19,11:34.74,11:52.95,12:10.24,12:28.04,12:46.14,13:04.17,13:21.45,13:38.55,13:55.47,14:11.80,14:27.87,14:44.13,15:00.95
outdoor,,2025,18 September 2025,26,75,women,5000-metres,heats,2.0,Lea MEYER,GER,28.0,17.06,35.38,53.31,1:11.62,1:30.08,1:48.87,2:07.03,2:24.83,2:42.88,3:00.94,3:18.82,3:36.85,3:54.81,4:12.87,4:30.46,4:48.36,5:06.47,5:24.67,5:42.60,6:00.97,6:19.31,6:37.82,6:56.09,7:14.61,7:33.24,7:51.75,8:10.21,8:28.72,8:47.13,9:05.21,9:23.96,9:42.51,10:01.28,10:20.23,10:38.66,10:57.15,11:15.92,11:34.77,11:53.37,12:10.56,12:28.52,12:46.64,13:04.77,13:22.68,13:40.83,13:58.86,14:16.03,14:33.27,14:49.66,15:05.86
