COMP_TYPE,COMP_LOC,YEAR,RACE_DATE,RACE_TEMP,RACE_HUMID,M_W,EVENT,STAGE,RACE_NB,ATHLETE_NAME,ATHLETE_COUNTRY,ATHLETE_AGE,100M,200M,300M,400M,500M,600M,700M,800M,900M,1000M,1100M,1200M,1300M,1400M,1500M,1600M,1700M,1800M,1900M,2000M,2100M,2200M,2300M,2400M,2500M,2600M,2700M,2800M,2900M,3000M,3100M,3200M,3300M,3400M,3500M,3600M,3700M,3800M,3900M,4000M,4100M,4200M,4300M,4400M,4500M,4600M,4700M,4800M,4900M,5000M,5100M,5200M,5300M,5400M,5500M,5600M,5700M,5800M,5900M,6000M,6100M,6200M,6300M,6400M,6500M,6600M,6700M,6800M,6900M,7000M,7100M,7200M,7300M,7400M,7500M,7600M,7700M,7800M,7900M,8000M,8100M,8200M,8300M,8400M,8500M,8600M,8700M,8800M,8900M,9000M,9100M,9200M,9300M,9400M,9500M,9600M,9700M,9800M,9900M,10000M
outdoor,Budapest (HUN),2023,19 August 2023,26,73,women,10000-metres,final,1.0,Luz Mery ROJAS,PER,30.0,19.59,40.75,1:03.22,1:24.92,1:46.33,2:09.03,2:31.46,2:54.23,3:16.60,3:38.74,4:01.14,4:23.31,4:42.60,5:01.64,5:20.69,5:39.12,5:57.34,6:16.96,6:35.65,6:55.22,7:13.95,7:32.59,7:51.67,8:10.65,8:29.38,8:48.12,9:07.27,9:26.30,9:45.02,10:04.21,10:23.87,10:43.19,11:02.61,11:22.21,11:41.66,12:00.91,12:20.95,12:40.77,13:00.95,13:20.76,13:39.34,13:59.25,14:19.15,14:38.72,14:58.15,15:18.07,15:38.37,15:58.17,16:17.94,16:38.00,16:58.33,17:17.54,17:37.76,17:57.81,18:17.99,18:37.61,18:57.53,19:17.62,19:37.69,19:57.81,20:17.45,20:37.62,20:57.99,21:19.35,21:38.46,21:58.84,22:19.52,22:40.04,22:59.77,23:20.10,23:40.33,24:00.25,24:20.52,24:40.84,25:01.34,25:21.37,25:41.94,26:02.26,26:22.88,26:43.12,27:03.61,27:24.02,27:44.84,28:04.57,28:24.80,28:44.21,29:04.16,29:23.93,29:44.23,30:04.74,30:25.02,30:45.39,31:05.02,31:25.38,31:45.65,32:05.88,32:25.06,32:43.58,33:01.91,33:19.61
outdoor,Budapest (HUN),2023,19 August 2023,26,73,women,10000-metres,final,1.0,Rino GOSHIMA,JPN,26.0,18.58,39.71,1:01.70,1:24.85,1:45.97,2:08.57,2:30.96,2:53.52,3:16.00,3:38.25,4:01.11,4:22.61,4:41.97,5:00.92,5:19.62,5:38.12,5:56.75,6:15.54,6:34.84,6:53.58,7:12.70,7:31.54,7:50.40,8:10.21,8:28.54,8:47.38,9:06.78,9:25.37,9:44.50,10:03.60,10:22.95,10:42.28,11:01.87,11:21.65,11:41.41,12:00.79,12:20.82,12:40.63,13:00.81,13:20.22,13:39.52,13:59.35,14:19.48,14:38.87,14:58.31,15:18.22,15:38.05,15:58.17,16:17.99,16:37.80,16:57.92,17:17.47,17:37.51,17:57.60,18:17.68,18:37.41,18:57.29,19:17.41,19:37.53,19:57.09,20:17.31,20:37.59,20:58.06,21:17.86,21:38.17,21:58.66,22:19.16,22:39.27,22:59.61,23:19.87,23:40.29,24:00.02,24:20.39,24:40.61,25:00.82,25:21.21,25:41.70,26:01.97,26:22.63,26:42.75,27:03.36,27:23.79,27:44.53,28:04.33,28:24.78,28:44.74,29:04.91,29:24.95,29:45.20,30:04.99,30:25.03,30:45.38,31:05.50,31:25.45,31:45.86,32:05.46,32:24.56,32:43.84,33:02.73,33:20.38
outdoor,Budapest (HUN),2023,19 August 2023,26,73,women,10000-metres,final,1.0,Maria Lucineida DA SILVA,BRA,22.0,19.81,41.08,1:03.26,1:26.06,1:47.84,2:10.82,2:33.25,2:55.31,3:17.53,3:39.68,4:01.94,4:23.87,4:44.09,5:03.50,5:23.57,5:42.26,6:01.66,6:21.28,6:41.17,7:01.23,7:21.26,7:41.45,8:02.20,8:22.44,8:42.98,9:03.82,9:24.53,9:45.71,10:06.89,10:28.22,10:49.24,11:11.75,11:32.36,11:53.82,12:15.71,12:36.65,12:58.80,13:20.65,13:42.49,14:04.51,14:25.85,14:47.78,15:10.04,15:31.81,15:53.42,16:15.39,16:37.89,16:59.37,17:21.00,17:42.14,18:03.07,18:23.84,18:45.42,19:07.12,19:29.41,19:51.67,20:13.95,20:36.72,20:58.58,21:20.03,21:41.91,22:04.22,22:26.43,22:48.07,23:10.11,23:32.74,23:55.17,24:17.45,24:39.45,25:01.73,25:23.56,25:45.15,26:07.24,26:29.45,26:51.97,27:14.63,27:36.33,27:58.37,28:20.75,28:43.19,29:05.34,29:27.81,29:50.40,30:12.46,30:35.10,30:57.51,31:19.61,31:41.36,32:03.11,32:24.78,32:46.56,33:08.16,33:29.77,33:51.60,34:13.28,34:34.10,34:54.72,35:15.70,35:35.50,35:54.18
outdoor,Budapest (HUN),2023,20 August 2023,32,49,men,10000-metres,final,1.0,Joshua CHEPTEGEI,UGA,27.0,17.82,34.31,50.72,1:07.44,1:24.73,1:42.05,1:59.52,2:16.51,2:34.03,2:51.04,3:08.43,3:25.43,3:42.71,4:00.26,4:18.11,4:35.41,4:52.68,5:09.96,5:27.55,5:44.84,6:02.31,6:19.85,6:37.69,6:54.49,7:11.14,7:28.35,7:45.53,8:02.61,8:20.32,8:38.18,8:56.07,9:13.06,9:30.06,9:47.10,10:04.40,10:22.64,10:39.56,10:57.38,11:15.65,11:33.67,11:50.31,12:06.58,12:23.52,12:41.40,12:57.20,13:14.06,13:31.38,13:49.17,14:05.54,14:22.72,14:39.81,14:57.38,15:15.25,15:32.73,15:50.00,16:07.82,16:25.79,16:42.44,16:59.34,17:15.36,17:32.02,17:47.98,18:04.33,18:21.30,18:37.47,18:54.03,19:10.74,19:26.84,19:43.26,19:59.60,20:16.13,20:32.51,20:48.82,21:05.13,21:21.42,21:37.79,21:53.33,22:09.55,22:25.88,22:42.12,22:57.93,23:14.06,23:30.44,23:46.05,24:02.91,24:19.39,24:36.03,24:53.12,25:09.44,25:26.27,25:42.00,25:58.25,26:13.66,26:29.84,26:45.20,26:57.97,27:11.24,27:24.58,27:37.97,27:51.42
outdoor,Budapest (HUN),2023,20 August 2023,32,49,men,10000-metres,final,1.0,Daniel Simiu EBENYO,KEN,28.0,17.12,34.14,51.77,1:07.87,1:25.31,1:42.58,2:00.12,2:17.10,2:34.54,2:51.41,3:09.85,3:25.96,3:43.09,4:00.71,4:18.86,4:36.06,4:53.14,5:10.52,5:28.03,5:45.34,6:02.83,6:20.21,6:38.25,6:55.88,7:11.57,7:28.80,7:46.20,8:03.00,8:20.81,8:38.58,8:56.56,9:14.04,9:30.35,9:47.27,10:04.43,10:21.58,10:39.83,10:57.59,11:15.94,11:34.41,11:50.81,12:06.81,12:23.65,12:40.39,12:56.91,13:13.73,13:31.00,13:48.41,14:04.98,14:22.23,14:39.36,14:57.09,15:15.20,15:32.34,15:50.13,16:07.77,16:25.97,16:42.58,16:59.43,17:15.50,17:32.16,17:48.10,18:04.36,18:20.62,18:37.65,18:54.14,19:10.93,19:26.79,19:42.92,19:59.34,20:16.00,20:32.32,20:48.36,21:04.85,21:20.90,21:37.42,21:52.86,22:08.98,22:25.19,22:41.76,22:57.39,23:13.55,23:29.63,23:46.49,24:03.17,24:19.48,24:36.56,24:53.32,25:09.59,25:26.26,25:42.24,25:58.35,26:13.83,26:29.55,26:44.62,26:58.49,27:11.74,27:25.11,27:38.59,27:52.60
outdoor,Budapest (HUN),2023,20 August 2023,32,49,men,10000-metres,final,1.0,Selemon BAREGA,ETH,24.0,18.29,35.13,52.56,1:11.32,1:27.83,1:45.44,2:03.27,2:19.76,2:37.75,2:54.73,3:11.82,3:30.97,3:46.43,4:03.74,4:21.51,4:39.21,4:56.40,5:13.50,5:31.34,5:48.77,6:05.69,6:23.16,6:40.91,6:59.18,7:15.26,7:31.77,7:49.62,8:05.67,8:23.29,8:41.04,8:58.93,9:16.65,9:33.73,9:50.62,10:08.13,10:25.09,10:42.13,10:59.80,11:18.49,11:36.81,11:53.77,12:10.67,12:27.42,12:43.60,13:00.14,13:16.81,13:34.32,13:51.20,14:07.91,14:25.17,14:42.37,14:59.12,15:17.19,15:34.83,15:51.82,16:09.34,16:27.70,16:44.47,17:01.08,17:16.16,17:31.76,17:47.49,18:04.12,18:20.16,18:37.01,18:53.54,19:10.33,19:26.46,19:43.95,20:00.40,20:17.17,20:34.05,20:49.61,21:05.71,21:22.03,21:39.06,21:53.85,22:10.04,22:26.18,22:43.32,22:58.33,23:14.50,23:30.57,23:46.63,24:03.39,24:19.88,24:36.68,24:53.44,25:09.92,25:26.66,25:42.48,25:58.26,26:14.14,26:29.45,26:45.00,26:58.28,27:11.61,27:24.78,27:38.38,27:52.72
outdoor,Budapest (HUN),2023,20 August 2023,32,49,men,10000-metres,final,1.0,Berihu AREGAWI,ETH,22.0,16.95,33.20,50.78,1:07.79,1:25.62,1:43.16,2:00.41,2:17.54,2:35.16,2:52.11,3:09.57,3:27.02,3:43.72,4:01.27,4:18.84,4:37.19,4:53.68,5:10.89,5:28.54,5:46.04,6:03.24,6:20.84,6:39.17,6:56.72,7:12.43,7:29.15,7:46.30,8:03.19,8:21.21,8:38.88,8:56.92,9:13.64,9:30.95,9:47.93,10:04.99,10:22.16,10:40.33,10:57.58,11:15.65,11:33.05,11:50.61,12:07.03,12:23.61,12:40.04,12:56.68,13:13.51,13:30.58,13:47.54,14:04.58,14:21.75,14:38.88,14:56.71,15:14.83,15:32.08,15:49.52,16:07.62,16:26.16,16:43.12,16:59.87,17:15.84,17:32.62,17:48.50,18:04.91,18:20.97,18:37.99,18:53.90,19:10.57,19:26.44,19:42.80,19:59.17,20:15.46,20:31.80,20:48.15,21:04.38,21:20.58,21:36.69,21:52.69,22:08.83,22:25.08,22:41.26,22:57.24,23:13.34,23:29.55,23:45.98,24:02.82,24:19.31,24:36.29,24:52.86,25:09.35,25:26.04,25:42.04,25:57.90,26:13.57,26:29.43,26:45.01,26:58.21,27:11.52,27:25.06,27:39.88,27:55.71
outdoor,Budapest (HUN),2023,20 August 2023,32,49,men,10000-metres,final,1.0,Benard KIBET,KEN,24.0,17.06,33.11,50.76,1:07.68,1:24.93,1:42.25,2:00.06,2:18.09,2:34.23,2:51.26,3:08.60,3:26.05,3:42.95,4:00.32,4:18.62,4:37.07,4:52.84,5:10.23,5:29.01,5:45.18,6:02.58,6:20.03,6:37.93,6:55.81,7:11.36,7:28.59,7:45.75,8:03.07,8:20.49,8:38.23,8:55.76,9:12.52,9:29.44,9:46.32,10:03.66,10:21.34,10:39.31,10:57.29,11:15.40,11:32.87,11:49.36,12:05.41,12:21.96,12:38.38,12:55.50,13:13.60,13:30.87,13:47.67,14:04.70,14:22.00,14:39.31,14:56.97,15:14.40,15:31.34,15:48.66,16:05.91,16:23.51,16:40.48,16:57.14,17:14.11,17:31.59,17:47.72,18:04.32,18:20.61,18:37.21,18:53.79,19:10.45,19:26.87,19:43.61,19:59.88,20:16.75,20:34.03,20:49.01,21:05.33,21:21.48,21:37.56,21:53.50,22:09.73,22:26.13,22:42.32,22:58.24,23:14.23,23:30.76,23:46.62,24:03.50,24:19.92,24:36.78,24:56.69,25:09.79,25:26.55,25:42.36,25:58.37,26:14.11,26:29.92,26:45.47,26:59.36,27:13.11,27:27.22,27:42.11,27:56.27
outdoor,Budapest (HUN),2023,20 August 2023,32,49,men,10000-metres,final,1.0,Mohammed AHMED,CAN,33.0,16.08,33.07,50.40,1:09.53,1:25.67,1:43.35,2:03.69,2:17.88,2:35.62,2:52.70,3:09.92,3:27.14,3:44.06,4:01.67,4:19.31,4:36.74,4:54.22,5:11.50,5:28.86,5:46.31,6:03.96,6:21.29,6:41.75,6:56.29,7:13.06,7:29.87,7:47.07,8:03.80,8:21.42,8:39.32,8:57.07,9:13.96,9:31.25,9:48.03,10:05.13,10:22.20,10:40.61,10:58.30,11:16.48,11:36.21,11:51.88,12:08.36,12:25.59,12:42.01,12:58.41,13:15.29,13:32.35,13:49.67,14:06.56,14:23.57,14:40.47,14:59.34,15:15.86,15:33.20,15:50.60,16:10.50,16:26.50,16:43.64,17:00.95,17:16.37,17:32.81,17:48.97,18:05.14,18:21.37,18:38.32,18:54.71,19:11.33,19:27.39,19:44.68,20:00.55,20:16.36,20:33.29,20:49.12,21:05.55,21:21.42,21:37.70,21:53.65,22:09.79,22:26.01,22:43.26,22:58.10,23:14.17,23:30.38,23:46.00,24:02.96,24:19.43,24:36.50,24:55.54,25:09.59,25:26.26,25:42.09,25:57.93,26:13.78,26:29.61,26:45.15,26:59.06,27:12.37,27:26.38,27:41.02,27:56.43
outdoor,Budapest (HUN),2023,20 August 2023,32,49,men,10000-metres,final,1.0,Rodrigue KWIZERA,BDI,24.0,16.64,33.64,51.58,1:08.60,1:26.64,1:44.29,2:01.56,2:18.91,2:36.62,2:53.54,3:10.87,3:27.59,3:44.50,4:01.83,4:19.52,4:37.06,4:54.60,5:11.69,5:29.22,5:46.69,6:04.17,6:21.63,6:39.56,6:56.33,7:13.23,7:30.23,7:47.59,8:05.10,8:21.91,8:39.93,8:57.58,9:15.19,9:31.86,9:48.69,10:05.87,10:22.48,10:40.83,10:58.59,11:16.42,11:33.81,11:51.57,12:07.79,12:24.71,12:41.46,12:58.08,13:15.08,13:31.96,13:48.64,14:05.94,14:23.15,14:40.38,14:57.65,15:15.71,15:32.96,15:50.45,16:08.02,16:26.21,16:43.37,17:00.14,17:15.94,17:32.83,17:48.64,18:05.09,18:21.11,18:38.18,18:54.72,19:11.34,19:27.63,19:44.15,20:00.61,20:17.33,20:33.27,20:49.48,21:05.90,21:22.45,21:39.06,21:54.40,22:10.45,22:26.53,22:42.77,22:58.62,23:14.60,23:30.68,23:46.70,24:03.60,24:20.15,24:36.88,24:53.46,25:10.10,25:26.99,25:42.79,26:00.59,26:14.51,26:30.11,26:45.74,27:01.04,27:16.28,27:31.24,27:46.19,28:00.29
outdoor,Budapest (HUN),2023,20 August 2023,32,49,men,10000-metres,final,1.0,Nicholas KIPKORIR,KEN,25.0,16.99,33.93,51.72,1:07.80,1:25.16,1:42.56,1:59.92,2:19.81,2:34.69,2:51.78,3:09.59,3:26.19,3:43.31,4:00.96,4:18.76,4:36.18,4:53.39,5:10.60,5:28.96,5:46.50,6:02.95,6:20.44,6:38.37,6:55.43,7:11.74,7:28.94,7:46.20,8:03.52,8:21.00,8:38.80,8:56.82,9:14.90,9:30.54,9:47.57,10:04.69,10:22.03,10:39.89,10:57.81,11:15.92,11:36.26,11:51.10,12:07.25,12:23.68,12:42.05,12:57.27,13:14.03,13:31.15,13:48.27,14:05.21,14:22.50,14:39.84,14:57.27,15:15.02,15:32.26,15:49.59,16:07.76,16:25.75,16:42.71,16:59.62,17:15.50,17:32.34,17:48.17,18:04.50,18:20.63,18:37.68,18:54.09,19:10.86,19:29.21,19:43.42,19:59.56,20:16.27,20:32.57,20:48.57,21:04.84,21:21.20,21:37.13,21:53.09,22:09.33,22:25.69,22:42.10,22:57.68,23:13.78,23:29.83,23:50.13,24:03.18,24:19.79,24:36.59,24:53.31,25:09.67,25:26.43,25:42.20,25:58.14,26:13.93,26:29.70,26:45.28,27:00.04,27:15.22,27:30.80,27:46.90,28:03.38
outdoor,Budapest (HUN),2023,20 August 2023,32,49,men,10000-metres,final,1.0,Yann SCHRUB,FRA,27.0,16.48,33.54,51.15,1:08.16,1:26.03,1:43.58,2:00.89,2:18.87,2:36.00,2:52.82,3:10.10,3:27.22,3:44.43,4:01.91,4:19.59,4:37.16,4:54.49,5:11.54,5:29.19,5:48.24,6:04.08,6:21.52,6:39.36,6:56.53,7:13.16,7:30.09,7:47.25,8:04.94,8:21.77,8:39.55,8:59.09,9:14.23,9:31.77,9:48.58,10:05.75,10:26.26,10:40.97,10:58.57,11:16.75,11:34.71,11:52.16,12:08.50,12:25.89,12:41.99,12:58.72,13:15.53,13:32.59,13:49.34,14:06.79,14:23.80,14:40.60,14:58.33,15:16.22,15:33.56,15:50.76,16:08.52,16:26.62,16:43.90,17:00.31,17:16.48,17:33.35,17:49.32,18:05.83,18:21.47,18:38.49,18:55.02,19:12.02,19:27.59,19:44.83,20:01.17,20:17.50,20:34.63,20:50.69,21:06.96,21:23.34,21:40.06,21:55.89,22:11.61,22:28.29,22:44.26,23:00.08,23:16.28,23:32.92,23:49.18,24:06.00,24:22.73,24:39.63,24:56.14,25:12.61,25:29.43,25:45.68,26:02.28,26:18.55,26:34.74,26:51.14,27:06.12,27:21.41,27:36.79,27:52.35,28:07.42
outdoor,Budapest (HUN),2023,20 August 2023,32,49,men,10000-metres,final,1.0,Birhanu BALEW,BRN,27.0,18.04,34.76,53.35,1:09.31,1:27.59,1:45.28,2:03.81,2:21.06,2:37.52,2:54.41,3:11.42,3:28.58,3:46.20,4:03.54,4:20.77,4:39.72,4:56.13,5:13.25,5:31.21,5:48.15,6:05.50,6:24.09,6:40.58,6:57.73,7:15.03,7:31.61,7:49.10,8:05.91,8:23.15,8:41.01,8:58.62,9:18.74,9:33.49,9:50.35,10:07.67,10:26.33,10:42.07,10:59.89,11:18.67,11:35.87,11:53.52,12:10.44,12:26.88,12:43.71,12:59.75,13:16.49,13:33.38,13:51.66,14:07.71,14:24.49,14:42.05,15:02.22,15:17.08,15:34.56,15:53.24,16:12.30,16:27.60,16:44.81,17:02.47,17:18.05,17:34.82,17:50.66,18:07.10,18:24.79,18:39.22,18:55.79,19:12.67,19:31.05,19:44.99,20:01.02,20:17.25,20:33.81,20:50.18,21:06.18,21:22.82,21:41.22,21:54.96,22:10.68,22:26.47,22:45.16,22:58.87,23:14.73,23:31.10,23:48.65,24:03.76,24:20.33,24:37.05,24:56.21,25:10.38,25:27.21,25:43.29,26:00.00,26:15.89,26:32.22,26:48.67,27:04.83,27:20.79,27:36.90,27:52.62,28:08.03
outdoor,Budapest (HUN),2023,20 August 2023,32,49,men,10000-metres,final,1.0,William KINCAID,USA,31.0,16.66,33.42,50.85,1:10.07,1:26.00,1:43.63,2:01.41,2:20.56,2:36.24,2:53.30,3:10.49,3:27.63,3:44.75,4:02.46,4:19.98,4:38.39,4:54.80,5:12.12,5:29.51,5:49.89,6:04.53,6:22.04,6:39.67,6:57.06,7:13.77,7:30.53,7:47.88,8:04.50,8:22.11,8:40.00,8:58.37,9:16.19,9:32.15,9:48.86,10:06.02,10:23.44,10:41.11,10:58.65,11:16.78,11:34.32,11:52.25,12:08.70,12:25.86,12:42.04,12:58.81,13:15.65,13:32.64,13:50.95,14:06.92,14:23.90,14:40.89,14:58.41,15:16.38,15:33.90,15:51.19,16:10.49,16:26.44,16:43.34,16:59.87,17:16.28,17:32.70,17:48.74,18:04.94,18:20.95,18:38.06,18:54.51,19:11.08,19:28.48,19:44.14,20:00.68,20:17.24,20:35.69,20:49.88,21:06.04,21:22.56,21:38.74,21:54.64,22:10.95,22:27.51,22:43.37,22:59.58,23:16.38,23:33.05,23:48.90,24:06.19,24:22.91,24:40.14,24:56.41,25:12.87,25:30.03,25:46.53,26:03.29,26:19.73,26:35.90,26:52.35,27:09.47,27:24.63,27:40.12,27:55.09,28:08.71
outdoor,Budapest (HUN),2023,20 August 2023,32,49,men,10000-metres,final,1.0,Yemaneberhan CRIPPA,ITA,27.0,17.20,34.27,53.54,1:08.64,1:26.89,1:44.61,2:01.86,2:18.09,2:35.47,2:52.53,3:09.97,3:27.06,3:43.94,4:01.48,4:19.08,4:36.51,4:53.94,5:11.16,5:28.68,5:48.78,6:03.52,6:20.96,6:40.04,6:55.72,7:12.51,7:29.52,7:46.10,8:03.34,8:21.14,8:39.08,8:56.76,9:13.81,9:30.79,9:47.79,10:04.76,10:22.15,10:40.31,10:58.10,11:16.29,11:35.41,11:51.42,12:07.73,12:24.45,12:41.59,12:57.50,13:14.29,13:31.38,13:48.78,14:05.73,14:22.94,14:39.96,14:58.87,15:15.53,15:32.94,15:50.46,16:09.00,16:26.33,16:43.12,16:59.70,17:16.44,17:32.54,17:48.60,18:04.79,18:20.94,18:37.90,18:54.44,19:11.10,19:28.05,19:44.39,20:00.87,20:17.32,20:34.01,20:50.02,21:06.36,21:22.91,21:39.01,21:55.23,22:10.96,22:27.12,22:43.30,22:59.97,23:16.53,23:33.45,23:49.82,24:06.49,24:23.60,24:40.71,24:57.85,25:14.87,25:32.40,25:49.39,26:06.23,26:23.00,26:39.89,26:56.73,27:13.10,27:29.37,27:45.47,28:01.37,28:16.40
outdoor,Budapest (HUN),2023,20 August 2023,32,49,men,10000-metres,final,1.0,Isaac KIMELI,BEL,29.0,16.41,33.51,51.40,1:10.07,1:26.38,1:44.17,2:01.94,2:18.71,2:36.68,2:53.62,3:10.75,3:28.90,3:44.95,4:02.32,4:20.05,4:39.94,4:55.21,5:12.34,5:29.74,5:47.14,6:04.78,6:22.17,6:39.96,6:57.25,7:14.15,7:30.75,7:47.83,8:05.55,8:22.52,8:40.43,8:58.25,9:16.93,9:32.29,9:49.16,10:06.13,10:23.07,10:41.36,10:59.26,11:17.34,11:35.56,11:52.59,12:08.94,12:26.05,12:42.40,12:59.13,13:15.73,13:32.70,13:52.12,14:07.02,14:23.98,14:40.80,14:58.21,15:16.41,15:33.81,15:51.15,16:08.18,16:26.85,16:43.96,17:00.50,17:18.78,17:33.43,17:49.66,18:06.15,18:21.75,18:38.79,18:55.16,19:11.80,19:29.95,19:44.76,20:01.22,20:17.51,20:33.93,20:50.52,21:06.71,21:23.12,21:39.22,21:55.67,22:12.06,22:28.92,22:45.43,23:02.07,23:19.04,23:36.31,23:53.20,24:10.53,24:27.92,24:45.38,25:02.82,25:19.67,25:37.32,25:54.42,26:11.32,26:28.43,26:44.93,27:01.50,27:18.13,27:34.72,27:50.80,28:06.44,28:20.77
outdoor,Budapest (HUN),2023,20 August 2023,32,49,men,10000-metres,final,1.0,Adriaan WILDSCHUTT,RSA,25.0,16.59,33.61,51.53,1:08.58,1:26.16,1:43.55,2:00.77,2:17.58,2:35.31,2:52.33,3:10.19,3:26.88,3:43.98,4:01.24,4:19.10,4:36.69,4:53.80,5:11.07,5:28.59,5:45.81,6:03.54,6:20.65,6:38.31,6:57.17,7:12.29,7:29.42,7:46.24,8:06.88,8:21.31,8:39.10,8:57.11,9:13.90,9:31.09,9:48.03,10:05.14,10:21.93,10:40.02,10:57.81,11:15.99,11:33.38,11:51.12,12:07.43,12:24.04,12:40.57,12:57.54,13:14.30,13:31.35,13:48.53,14:05.64,14:22.85,14:39.81,14:57.34,15:15.42,15:32.55,15:50.41,16:07.50,16:25.88,16:42.79,16:59.40,17:15.72,17:32.38,17:48.40,18:04.65,18:20.76,18:37.79,18:54.32,19:10.84,19:26.97,19:43.56,20:00.13,20:16.35,20:32.72,20:49.28,21:05.63,21:21.81,21:38.08,21:54.17,22:10.58,22:27.82,22:44.86,23:01.06,23:17.90,23:34.95,23:51.65,24:08.72,24:26.04,24:43.33,25:00.44,25:17.83,25:35.76,25:52.75,26:09.81,26:27.00,26:44.29,27:01.49,27:20.14,27:34.46,27:50.57,28:06.30,28:21.40
outdoor,Budapest (HUN),2023,20 August 2023,32,49,men,10000-metres,final,1.0,Ren TAZAWA,JPN,23.0,16.72,33.51,51.14,1:07.98,1:25.41,1:42.93,2:00.09,2:17.25,2:34.95,2:51.82,3:09.22,3:26.35,3:43.48,4:01.12,4:18.95,4:36.17,4:53.51,5:10.79,5:28.20,5:45.59,6:03.14,6:20.60,6:38.31,6:55.41,7:12.01,7:29.12,7:46.28,8:03.48,8:21.53,8:39.14,8:57.03,9:16.93,9:31.26,9:48.17,10:05.29,10:22.36,10:40.40,10:58.00,11:16.11,11:34.72,11:51.37,12:07.92,12:24.75,12:41.12,12:57.80,13:14.52,13:31.56,13:48.79,14:05.85,14:23.01,14:39.97,14:57.74,15:15.62,15:32.90,15:50.31,16:09.16,16:26.35,16:43.61,17:00.29,17:16.94,17:32.96,17:48.95,18:05.09,18:21.41,18:38.46,18:54.87,19:11.43,19:27.68,19:44.45,20:00.89,20:17.29,20:33.67,20:50.09,21:06.42,21:23.26,21:39.36,21:55.95,22:12.72,22:29.65,22:46.84,23:03.89,23:21.19,23:38.46,23:55.75,24:13.03,24:30.48,24:47.99,25:05.57,25:22.92,25:40.66,25:57.64,26:15.42,26:31.99,26:49.20,27:06.13,27:23.08,27:39.57,27:56.22,28:12.57,28:25.85
outdoor,Budapest (HUN),2023,20 August 2023,32,49,men,10000-metres,final,1.0,Sean MCGORTY,USA,28.0,15.95,33.28,50.89,1:07.90,1:25.91,1:43.62,2:01.49,2:18.16,2:36.15,2:52.96,3:10.67,3:27.78,3:44.79,4:02.07,4:19.68,4:37.38,4:54.90,5:11.93,5:29.41,5:46.95,6:04.40,6:21.86,6:39.75,6:56.80,7:13.81,7:29.90,7:46.84,8:03.88,8:21.61,8:39.43,8:57.23,9:14.25,9:31.46,9:48.43,10:05.46,10:22.64,10:40.89,10:58.51,11:19.69,11:34.25,11:52.09,12:08.50,12:25.72,12:41.73,12:58.67,13:15.46,13:32.45,13:49.62,14:06.71,14:23.66,14:41.85,14:58.19,15:16.35,15:33.57,15:53.70,16:08.72,16:27.16,16:44.41,17:00.98,17:17.51,17:34.03,17:50.19,18:06.18,18:22.31,18:39.08,18:55.62,19:12.18,19:28.72,19:45.23,20:01.64,20:17.95,20:34.70,20:51.03,21:07.47,21:23.73,21:40.79,21:57.21,22:14.29,22:31.25,22:48.33,23:05.15,23:22.19,23:39.44,23:57.12,24:14.20,24:31.67,24:48.85,25:06.53,25:23.39,25:40.87,25:57.60,26:14.92,26:31.83,26:48.86,27:06.11,27:22.95,27:39.43,27:56.10,28:11.90,28:27.54
outdoor,Budapest (HUN),2023,20 August 2023,32,49,men,10000-metres,final,1.0,Santiago CATROFE,URU,25.0,16.36,33.45,51.21,1:08.16,1:26.16,1:44.05,2:01.82,2:18.58,2:36.57,2:53.36,3:10.70,3:28.06,3:45.44,4:02.85,4:20.49,4:38.12,4:55.57,5:12.73,5:30.25,5:47.75,6:05.12,6:22.55,6:40.48,6:58.83,7:14.72,7:31.35,7:48.32,8:05.23,8:22.87,8:40.74,8:58.46,9:16.30,9:33.28,9:50.11,10:06.93,10:23.94,10:41.65,10:58.92,11:17.66,11:35.24,11:52.57,12:09.08,12:26.18,12:42.77,12:59.52,13:16.20,13:34.84,13:51.71,14:07.51,14:24.39,14:43.95,14:58.93,15:16.86,15:34.35,15:51.52,16:09.36,16:27.52,16:44.76,17:02.79,17:18.27,17:34.63,17:51.25,18:07.84,18:23.69,18:40.26,18:57.02,19:13.72,19:29.69,19:46.06,20:02.51,20:19.59,20:36.01,20:52.73,21:09.66,21:26.97,21:44.20,22:01.08,22:18.08,22:35.13,22:51.76,23:08.67,23:25.92,23:45.29,24:00.24,24:17.55,24:35.26,24:52.83,25:10.01,25:27.25,25:44.90,26:01.90,26:19.05,26:35.92,26:52.85,27:09.74,27:26.08,27:42.21,27:58.24,28:13.78,28:28.49
